user,date,text,location,coordinates,filename
25Tulips,Wed Aug 11 06:57:32 +0000 2021,@DanRather #Boycott all three #airlines  @americanairlnes  @SouthwestAir and @Delta and fly with @AlaskaAir @United,Citizen of the World ,,2021-08-19 23:36:16.313209_combined.csv
laxradar,Wed Aug 11 06:55:55 +0000 2021,"United Airlines flight #UAL2649 spotted at 25,500 feet! https://t.co/6IqE0boXUa","Los Angeles, CA",,2021-08-19 23:36:16.313209_combined.csv
tammylynne67,Wed Aug 11 06:54:56 +0000 2021,Guess I'll trade in my Southwest credit card for a United Airlines card and start flying their safe &amp; friendlier sk… https://t.co/rSU7o3PzEo,Las Vegas,,2021-08-19 23:36:16.313209_combined.csv
JayneHo30995128,Wed Aug 11 06:53:49 +0000 2021,Guess that's the end of my frequent flyer miles from those airlines! I'll happily fly only United! https://t.co/7ie0nnOtSK,"Wisconsin, USA",,2021-08-19 23:36:16.313209_combined.csv
BKopernikus,Wed Aug 11 08:03:48 +0000 2021,RT @_NickRogers_: Just in: all airlines other than United are now Delta https://t.co/uEHvD72WlT,,,2021-08-19 23:36:16.313209_combined.csv
Joe23494358,Wed Aug 11 08:03:14 +0000 2021,"RT @OliviaLeon22: BREAKING! 🚨🚨🚨 Southwest Airlines, American Airlines, and Delta will NOT REQUIRE employees to get vaccinated, breaking wit…","England, United Kingdom",,2021-08-19 23:36:16.313209_combined.csv
what_wah,Wed Aug 11 08:01:08 +0000 2021,"@kurtbardella Or, they’re the CEO’s and they make the decisions… because they’re their decisions to make not United… https://t.co/4JIkqcIXMS",,,2021-08-19 23:36:16.313209_combined.csv
Hebergementwebs,Wed Aug 11 08:00:11 +0000 2021,"United Airlines approves all flight attendants for tattoos, nail polish and makeup  Bryan Andrews is the director o… https://t.co/pxTP2i5h28",USA,,2021-08-19 23:36:16.313209_combined.csv
wfaa,Wed Aug 11 08:00:00 +0000 2021,United CEO says it's clear — that everyone is safer when everyone is vaccinated. https://t.co/BoJSBBFDJX,"Dallas, TX",,2021-08-19 23:36:16.313209_combined.csv
laxradar,Wed Aug 11 07:58:45 +0000 2021,"United Airlines flight #UAL1850 spotted at 2,125 feet! https://t.co/SUg5HvOG4x","Los Angeles, CA",,2021-08-19 23:36:16.313209_combined.csv
RealKristiKalis,Wed Aug 11 07:55:57 +0000 2021,@petemuntean @relationshipguy Looks like United Airlines stock is going up.,"Pennsylvania, USA",,2021-08-19 23:36:16.313209_combined.csv
TeresaKAlley,Wed Aug 11 07:54:46 +0000 2021,"RT @Rschooley: Dammit, I have to admire United Airlines now? https://t.co/HWH9Os4GEg","Indianapolis, IN",,2021-08-19 23:36:16.313209_combined.csv
KetuKumarParmar,Wed Aug 11 07:54:37 +0000 2021,RT @LifeboatHQ: Airlines like United and American are dedicating billions of dollars to fly a new type of aircraft that won’t require pilot…,Mars ,,2021-08-19 23:36:16.313209_combined.csv
laxradar,Wed Aug 11 07:52:26 +0000 2021,United Airlines flight #UAL2230 spotted at 600 feet! https://t.co/qeDsfwsZD1,"Los Angeles, CA",,2021-08-19 23:36:16.313209_combined.csv
ashok_gada,Wed Aug 11 07:52:09 +0000 2021,RT @monikk4810: Yesterday my brother was travelling with @British_Airways to The United States as he is a student over there but he was rej…,,,2021-08-19 23:36:16.313209_combined.csv
OmnaTigray,Sun Aug 01 21:55:29 +0000 2021,#BoycottEthiopianAirlines for their role in the #TigrayGenocide. @flyethiopian aircrafts are being used to transpor… https://t.co/Mu7kCrMAkT,,,2021-08-19 23:36:16.313209_combined.csv
Reuters,Wed Jul 28 21:10:00 +0000 2021,England will allow fully vaccinated visitors from the European Union and the United States to arrive without needin… https://t.co/ZBqxtqahjm,Around the world,,2021-08-19 23:36:16.313209_combined.csv
