,user,date,text,location,coordinates,filename
88,GriffinCOA,Wed Aug 11 06:03:38 +0000 2021,"@neal_katyal @united @neal_katyal Neal, thanks for your leadership and for United acting responsibly.  As to the ot… https://t.co/S5fSFn5oNF",,,2021-08-16 23:36:43.265249_combined.csv
89,laxradar,Wed Aug 11 06:02:27 +0000 2021,"United Airlines flight #UAL517 spotted at 16,000 feet! https://t.co/kTNZbZBosy","Los Angeles, CA",,2021-08-16 23:36:43.265249_combined.csv
90,hectorg1931,Wed Aug 11 06:02:02 +0000 2021,@e_revolutionist @united @Delta @SouthwestAir My sister is a flight attendant of 23 years. I'm sure she's very upse… https://t.co/SLcECdeotZ,"San Antonio, TX",,2021-08-16 23:36:43.265249_combined.csv
91,laxradar,Wed Aug 11 06:01:41 +0000 2021,"United Airlines flight #UAL1266 spotted at 2,675 feet! https://t.co/zVlYlOUlMl","Los Angeles, CA",,2021-08-16 23:36:43.265249_combined.csv
92,laxradar,Wed Aug 11 06:00:22 +0000 2021,"United Airlines flight #UAL1143 spotted at 5,300 feet! https://t.co/GZ4borMvFZ","Los Angeles, CA",,2021-08-16 23:36:43.265249_combined.csv
93,PressReleaseJpn,Wed Aug 11 06:00:04 +0000 2021,skyticket launches direct connection service via the New Distribution Capability (NDC) with United Airlines https://t.co/XGg2ADldEi,"Shibuya, Tokyo, Japan",,2021-08-16 23:36:43.265249_combined.csv
94,OliviaLeon22,Wed Aug 11 05:59:06 +0000 2021,"BREAKING! 🚨🚨🚨 Southwest Airlines, American Airlines, and Delta will NOT REQUIRE employees to get vaccinated, breaki… https://t.co/AQawJA5VEE","Beverly Hills, CA",,2021-08-16 23:36:43.265249_combined.csv
95,JJRavenation52,Wed Aug 11 05:57:52 +0000 2021,RT @MayoIsSpicyy: @petemuntean I guess I’m only flying United Airlines.,,,2021-08-16 23:36:43.265249_combined.csv
96,Kimmierae45,Wed Aug 11 05:57:02 +0000 2021,"BREAKING! 🚨🚨🚨 Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinat… https://t.co/0I9dmAymZ0",United States,,2021-08-16 23:36:43.265249_combined.csv
97,StarShineSpeaks,Wed Aug 11 05:56:42 +0000 2021,I guess I will only be taking United airlines in the future. https://t.co/4T6w9JCvvJ,"Los Angeles, CA",,2021-08-16 23:36:43.265249_combined.csv
98,gerardo009,Wed Aug 11 07:02:04 +0000 2021,"RT @BoeingAirplanes: With today’s order of 150 737-10s and 50 737-8s, United Airlines positions its fleet for the next phase of the market…","Vancouver, Germany, Spain, USA",,2021-08-16 23:36:43.265249_combined.csv
99,clydeechols,Wed Aug 11 07:01:52 +0000 2021,@miyashay @united Good.  I’ll make sure to fly the airlines with common sense,,,2021-08-16 23:36:43.265249_combined.csv
100,KENS5,Wed Aug 11 07:00:00 +0000 2021,United CEO says it's clear — that everyone is safer when everyone is vaccinated. https://t.co/yIoEDnOrRI,"San Antonio, Texas",,2021-08-16 23:36:43.265249_combined.csv
101,screampuppets,Wed Aug 11 06:59:50 +0000 2021,"After a very long United Airlines flight seated next to a boomer who insisted on leaving his face exposed, I have b… https://t.co/QG2M2P0ff7",the sock drawer,,2021-08-16 23:36:43.265249_combined.csv
102,para59r,Wed Aug 11 06:59:16 +0000 2021,@ItsTeamGoodGuy1 @barnes_law @Surabees Other airlines are not denying anyone get the vaccine.  If you get the vacci… https://t.co/9cCuRgFXHw,,,2021-08-16 23:36:43.265249_combined.csv
103,laxradar,Wed Aug 11 06:58:41 +0000 2021,"United Airlines flight #UAL2192 spotted at 28,000 feet! https://t.co/8tHTStjFEy","Los Angeles, CA",,2021-08-16 23:36:43.265249_combined.csv
104,SabrinaMertens4,Wed Aug 11 06:58:21 +0000 2021,"RT @eatlovepray211: BREAKING! 🚨🚨🚨 Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated,…",Belgium,,2021-08-16 23:36:43.265249_combined.csv
105,956_2766,Wed Aug 11 06:57:33 +0000 2021,"RT @DanielNewman: United Airlines is forcing all employees to get Vaccinated.

Thoughts?  It's Situational

I think Mandatory Masks were ap…","Laredo, TX",,2021-08-16 23:36:43.265249_combined.csv
106,25Tulips,Wed Aug 11 06:57:32 +0000 2021,@DanRather #Boycott all three #airlines  @americanairlnes  @SouthwestAir and @Delta and fly with @AlaskaAir @United,Citizen of the World ,,2021-08-16 23:36:43.265249_combined.csv
107,laxradar,Wed Aug 11 06:55:55 +0000 2021,"United Airlines flight #UAL2649 spotted at 25,500 feet! https://t.co/6IqE0boXUa","Los Angeles, CA",,2021-08-16 23:36:43.265249_combined.csv
108,tammylynne67,Wed Aug 11 06:54:56 +0000 2021,Guess I'll trade in my Southwest credit card for a United Airlines card and start flying their safe &amp; friendlier sk… https://t.co/rSU7o3PzEo,Las Vegas,,2021-08-16 23:36:43.265249_combined.csv
109,JayneHo30995128,Wed Aug 11 06:53:49 +0000 2021,Guess that's the end of my frequent flyer miles from those airlines! I'll happily fly only United! https://t.co/7ie0nnOtSK,"Wisconsin, USA",,2021-08-16 23:36:43.265249_combined.csv
110,BKopernikus,Wed Aug 11 08:03:48 +0000 2021,RT @_NickRogers_: Just in: all airlines other than United are now Delta https://t.co/uEHvD72WlT,,,2021-08-16 23:36:43.265249_combined.csv
111,Joe23494358,Wed Aug 11 08:03:14 +0000 2021,"RT @OliviaLeon22: BREAKING! 🚨🚨🚨 Southwest Airlines, American Airlines, and Delta will NOT REQUIRE employees to get vaccinated, breaking wit…","England, United Kingdom",,2021-08-16 23:36:43.265249_combined.csv
112,what_wah,Wed Aug 11 08:01:08 +0000 2021,"@kurtbardella Or, they’re the CEO’s and they make the decisions… because they’re their decisions to make not United… https://t.co/4JIkqcIXMS",,,2021-08-16 23:36:43.265249_combined.csv
113,Hebergementwebs,Wed Aug 11 08:00:11 +0000 2021,"United Airlines approves all flight attendants for tattoos, nail polish and makeup  Bryan Andrews is the director o… https://t.co/pxTP2i5h28",USA,,2021-08-16 23:36:43.265249_combined.csv
114,wfaa,Wed Aug 11 08:00:00 +0000 2021,United CEO says it's clear — that everyone is safer when everyone is vaccinated. https://t.co/BoJSBBFDJX,"Dallas, TX",,2021-08-16 23:36:43.265249_combined.csv
115,laxradar,Wed Aug 11 07:58:45 +0000 2021,"United Airlines flight #UAL1850 spotted at 2,125 feet! https://t.co/SUg5HvOG4x","Los Angeles, CA",,2021-08-16 23:36:43.265249_combined.csv
116,RealKristiKalis,Wed Aug 11 07:55:57 +0000 2021,@petemuntean @relationshipguy Looks like United Airlines stock is going up.,"Pennsylvania, USA",,2021-08-16 23:36:43.265249_combined.csv
